time,comp0,comp1
0.1213,0.095999179919,0.0372058941229
0.1214,0.0960145061808,0.0372212159036
0.1215,0.0960297941772,0.0372364994276
0.1216,0.0960450440039,0.0372517447906
0.1217,0.0960602557561,0.0372669520877
0.1218,0.0960754295289,0.0372821214141
0.1219,0.0960905654171,0.0372972528645
0.122,0.0961056635153,0.0373123465335
0.1221,0.0961207239179,0.0373274025155
0.1222,0.0961357467189,0.0373424209046
0.1223,0.0961507320123,0.0373574017945
0.1224,0.0961656798918,0.037372345279
0.1225,0.0961805904507,0.0373872514514
0.1226,0.0961954637822,0.037402120405
0.1227,0.0962102999793,0.0374169522326
0.1228,0.0962250991347,0.0374317470269
0.1229,0.0962398613408,0.0374465048804
0.123,0.0962545866901,0.0374612258854
0.1231,0.0962692752743,0.0374759101338
0.1232,0.0962839271855,0.0374905577175
0.1233,0.0962985425151,0.0375051687279
0.1234,0.0963131213544,0.0375197432564
0.1235,0.0963276637946,0.0375342813941
0.1236,0.0963421699267,0.0375487832318
0.1237,0.0963566398411,0.0375632488602
0.1238,0.0963710736284,0.0375776783697
0.1239,0.0963854713787,0.0375920718505
0.124,0.0963998331821,0.0376064293925
0.1241,0.0964141591283,0.0376207510855
0.1242,0.0964284493068,0.037635037019
0.1243,0.0964427038069,0.0376492872822
0.1244,0.0964569227177,0.0376635019643
0.1245,0.0964711061281,0.037677681154
0.1246,0.0964852541268,0.0376918249401
0.1247,0.096499366802,0.0377059334108
0.1248,0.0965134442421,0.0377200066544
0.1249,0.096527486535,0.0377340447588
0.125,0.0965414937685,0.0377480478118
0.1251,0.0965554660301,0.0377620159009
0.1252,0.0965694034071,0.0377759491134
0.1253,0.0965833059866,0.0377898475363
0.1254,0.0965971738556,0.0378037112566
0.1255,0.0966110071006,0.0378175403608
0.1256,0.0966248058081,0.0378313349355
0.1257,0.0966385700644,0.0378450950668
0.1258,0.0966522999555,0.0378588208407
0.1259,0.0966659955672,0.0378725123431
0.126,0.096679656985,0.0378861696594
0.1261,0.0966932842945,0.0378997928751
0.1262,0.0967068775806,0.0379133820753
0.1263,0.0967204369284,0.0379269373449
0.1264,0.0967339624226,0.0379404587687
0.1265,0.0967474541478,0.0379539464311
0.1266,0.0967609121882,0.0379674004164
0.1267,0.0967743366279,0.0379808208088
0.1268,0.096787727551,0.0379942076922
0.1269,0.0968010850409,0.0380075611501
0.127,0.0968144091813,0.038020881266
0.1271,0.0968277000554,0.0380341681233
0.1272,0.0968409577462,0.0380474218049
0.1273,0.0968541823367,0.0380606423936
0.1274,0.0968673739093,0.0380738299722
0.1275,0.0968805325467,0.038086984623
0.1276,0.096893658331,0.0381001064282
0.1277,0.0969067513442,0.0381131954699
0.1278,0.0969198116683,0.0381262518299
0.1279,0.0969328393847,0.0381392755897
0.128,0.0969458345749,0.0381522668308
0.1281,0.0969587973202,0.0381652256343
0.1282,0.0969717277015,0.0381781520813
0.1283,0.0969846257996,0.0381910462525
0.1284,0.0969974916952,0.0382039082286
0.1285,0.0970103254687,0.0382167380898
0.1286,0.0970231272002,0.0382295359165
0.1287,0.0970358969698,0.0382423017886
0.1288,0.0970486348573,0.0382550357858
0.1289,0.0970613409422,0.0382677379878
0.129,0.097074015304,0.038280408474
0.1291,0.0970866580219,0.0382930473235
0.1292,0.0970992691749,0.0383056546153
0.1293,0.0971118488418,0.0383182304283
0.1294,0.0971243971012,0.0383307748409
0.1295,0.0971369140316,0.0383432879318
0.1296,0.0971493997111,0.0383557697789
0.1297,0.0971618542178,0.0383682204605
0.1298,0.0971742776296,0.0383806400541
0.1299,0.097186670024,0.0383930286376
0.13,0.0971990314786,0.0384053862883
0.1301,0.0972113620705,0.0384177130835
0.1302,0.0972236618768,0.0384300091001
0.1303,0.0972359309745,0.0384422744151
0.1304,0.0972481694401,0.0384545091051
0.1305,0.0972603773501,0.0384667132466
0.1306,0.0972725547809,0.0384788869158
0.1307,0.0972847018086,0.0384910301888
0.1308,0.097296818509,0.0385031431416
0.1309,0.0973089049579,0.0385152258498
0.131,0.0973209612308,0.038527278389
0.1311,0.097332987403,0.0385393008345
0.1312,0.0973449835498,0.0385512932613
0.1313,0.097356949746,0.0385632557446
0.1314,0.0973688860665,0.038575188359
0.1315,0.0973807925859,0.0385870911791
0.1316,0.0973926693785,0.0385989642793
0.1317,0.0974045165187,0.0386108077338
0.1318,0.0974163340803,0.0386226216167
0.1319,0.0974281221374,0.0386344060018
0.132,0.0974398807634,0.0386461609626
0.1321,0.0974516100321,0.0386578865728
0.1322,0.0974633100165,0.0386695829056
0.1323,0.0974749807899,0.038681250034
0.1324,0.0974866224252,0.0386928880311
0.1325,0.0974982349951,0.0387044969695
0.1326,0.0975098185723,0.0387160769218
0.1327,0.097521373229,0.0387276279603
0.1328,0.0975328990375,0.0387391501574
