time,soma
0.5666,-0.0606178387878
0.5667,-0.0605791391118
0.5668,-0.0605373135922
0.5669,-0.0604926050203
0.567,-0.060445238843
0.5671,-0.0603954250289
0.5672,-0.0603433594079
0.5673,-0.0602892247332
0.5674,-0.0602331916235
0.5675,-0.0601754194094
0.5676,-0.0601160568535
0.5677,-0.0600552429698
0.5678,-0.0599931075921
0.5679,-0.0599297721057
0.568,-0.0598653499823
0.5681,-0.0597999473047
0.5682,-0.0597336633629
0.5683,-0.0596665910167
0.5684,-0.0595988171548
0.5685,-0.0595304231554
0.5686,-0.059461485153
0.5687,-0.0593920743918
0.5688,-0.0593222575965
0.5689,-0.059252097179
0.569,-0.0591816515012
0.5691,-0.0591109751555
0.5692,-0.0590401191888
0.5693,-0.0589691312368
0.5694,-0.0588980557512
0.5695,-0.0588269342537
0.5696,-0.0587558053722
0.5697,-0.058684705063
0.5698,-0.0586136667766
0.5699,-0.0585427215811
0.57,-0.0584718982366
0.5701,-0.0584012233459
0.5702,-0.0583307215624
0.5703,-0.0582604155198
0.5704,-0.0581903260321
0.5705,-0.0581204722616
0.5706,-0.0580508716998
0.5707,-0.0579815402488
0.5708,-0.0579124923877
0.5709,-0.0578437412324
0.571,-0.057775298517
0.5711,-0.0577071747438
0.5712,-0.0576393793206
0.5713,-0.0575719204465
0.5714,-0.057504805264
0.5715,-0.0574380400451
0.5716,-0.0573716299902
0.5717,-0.057305579419
0.5718,-0.0572398919483
0.5719,-0.0571745702504
0.572,-0.0571096162843
0.5721,-0.0570450314233
0.5722,-0.056980816202
0.5723,-0.0569169706252
0.5724,-0.0568534941571
0.5725,-0.0567903855376
0.5726,-0.0567276431664
0.5727,-0.0566652648734
0.5728,-0.0566032478915
0.5729,-0.0565415892858
0.573,-0.056480285454
0.5731,-0.0564193325145
0.5732,-0.0563587263083
0.5733,-0.0562984620636
0.5734,-0.0562385350232
0.5735,-0.0561789397958
0.5736,-0.0561196708549
0.5737,-0.0560607224709
0.5738,-0.0560020883937
0.5739,-0.0559437624613
0.574,-0.0558857379217
0.5741,-0.0558280080395
0.5742,-0.0557705658175
0.5743,-0.0557134038426
0.5744,-0.0556565148593
0.5745,-0.055599890996
0.5746,-0.0555435246474
0.5747,-0.055487407541
0.5748,-0.0554315316013
0.5749,-0.0553758884014
0.575,-0.0553204692717
0.5751,-0.0552652656157
0.5752,-0.0552102682758
0.5753,-0.0551554683822
0.5754,-0.0551008563803
0.5755,-0.0550464230844
0.5756,-0.0549921585227
0.5757,-0.0549380531071
0.5758,-0.0548840966048
0.5759,-0.0548302788699
0.576,-0.054776589476
0.5761,-0.054723017641
0.5762,-0.0546695526859
0.5763,-0.0546161832219
0.5764,-0.0545628981952
0.5765,-0.054509685675
0.5766,-0.0544565341533
0.5767,-0.0544034311217
0.5768,-0.0543503645296
0.5769,-0.0542973212267
0.577,-0.0542442885439
0.5771,-0.0541912526539
0.5772,-0.0541382001246
0.5773,-0.0540851164874
0.5774,-0.0540319873644
0.5775,-0.0539787976245
0.5776,-0.0539255317991
0.5777,-0.0538721739931
0.5778,-0.0538187074954
0.5779,-0.0537651154985
0.578,-0.0537113799581
0.5781,-0.0536574829451
0.5782,-0.0536034050245
0.5783,-0.0535491269386
0.5784,-0.0534946276522
0.5785,-0.0534398862753
0.5786,-0.0533848800952
0.5787,-0.0533295861312
0.5788,-0.05327397999
0.5789,-0.0532180361663
0.579,-0.0531617282613
0.5791,-0.0531050279562
0.5792,-0.0530479063865
0.5793,-0.0529903321853
0.5794,-0.0529322733255
0.5795,-0.0528736952003
0.5796,-0.0528145616377
0.5797,-0.052754834534
0.5798,-0.0526944729288
0.5799,-0.0526334342795
0.58,-0.0525716724397
0.5801,-0.0525091387689
0.5802,-0.052445781575
0.5803,-0.0523815450772
0.5804,-0.0523163702576
0.5805,-0.05225019355
0.5806,-0.0521829464465
0.5807,-0.0521145558217
0.5808,-0.0520449425379
0.5809,-0.0519740209124
0.581,-0.051901698618
0.5811,-0.0518278754598
0.5812,-0.0517524422651
0.5813,-0.051675280015
0.5814,-0.05159625898
0.5815,-0.0515152370398
0.5816,-0.0514320579117
0.5817,-0.0513465495127
0.5818,-0.0512585216592
0.5819,-0.0511677636817
0.582,-0.0510740413131
0.5821,-0.0509770930951
0.5822,-0.0508766261316
0.5823,-0.0507723109994
0.5824,-0.0506637756251
0.5825,-0.0505505978653
0.5826,-0.0504322962402
0.5827,-0.0503083187045
0.5828,-0.0501780295007
0.5829,-0.0500406911917
0.583,-0.0498954419547
0.5831,-0.0497412697882
0.5832,-0.0495769734322
0.5833,-0.0494011189207
